,movieId,imdbId,tmdbId
23,24,114168,12665.0
28,29,112682,902.0
31,32,114746,63.0
59,66,116839,11525.0
68,76,114367,9102.0
91,103,118040,2045.0
133,160,112715,10329.0
144,172,113481,9886.0
145,173,113492,9482.0
166,196,114508,9348.0
167,198,114558,281.0
176,208,114898,9804.0
220,256,110216,6280.0
224,260,76759,11.0
235,273,109836,3036.0
253,292,114069,6950.0
275,316,111282,2164.0
285,327,114614,9067.0
287,329,111280,193.0
290,332,114852,12122.0
296,338,114857,9271.0
336,379,111438,8831.0
370,426,106452,4722.0
379,435,106598,9612.0
385,442,106697,9739.0
418,480,107290,329.0
439,504,110678,10447.0
447,512,111003,25557.0
454,519,107978,5550.0
474,541,83658,78.0
478,546,108255,9607.0
507,589,103064,280.0
522,610,82509,11827.0
523,611,116514,8766.0
558,671,117128,3065.0
559,673,117705,2300.0
560,674,62711,8069.0
563,680,58898,8072.0
567,692,117688,29621.0
583,718,108500,11687.0
595,737,115624,11867.0
596,741,113568,9323.0
601,748,115571,10547.0
615,780,116629,602.0
622,788,117218,9327.0
656,849,116225,10061.0
668,880,116654,9306.0
706,924,62622,62.0
741,968,63350,10331.0
777,1019,46672,173.0
794,1037,104692,10163.0
817,1077,70707,11561.0
836,1097,83866,601.0
856,1127,96754,2756.0
858,1129,82340,1103.0
898,1196,80684,1891.0
901,1199,88846,68.0
902,1200,90605,679.0
907,1206,66921,185.0
911,1210,86190,1892.0
915,1214,78748,348.0
924,1223,104361,530.0
932,1232,79944,1398.0
939,1240,88247,218.0
952,1253,43456,828.0
954,1255,92610,9964.0
969,1270,88763,105.0
973,1274,94625,149.0
999,1301,49223,830.0
1004,1306,101458,10341.0
1009,1320,103644,8077.0
1023,1334,51418,8851.0
1028,1340,26138,229.0
1044,1356,117731,199.0
1054,1371,79945,152.0
1055,1372,102975,174.0
1056,1373,98382,172.0
1057,1374,84726,154.0
1058,1375,88170,157.0
1059,1376,92007,168.0
1071,1391,116996,75.0
1076,1396,105435,2322.0
1131,1479,120053,10003.0
1158,1527,119116,18.0
1164,1544,119567,330.0
1183,1580,119654,607.0
1187,1584,118884,686.0
1193,1590,119081,8413.0
1194,1591,120177,10336.0
1205,1603,119675,4961.0
1237,1646,120029,36797.0
1243,1653,119177,782.0
1261,1676,120201,563.0
1267,1682,120382,37165.0
1275,1690,118583,8078.0
1293,1726,119925,9922.0
1305,1748,118929,2666.0
1313,1762,118956,9457.0
1320,1779,120184,10153.0
1346,1831,120738,2157.0
1364,1862,120841,10216.0
1371,1876,120647,8656.0
1373,1882,120685,929.0
1391,1909,120902,846.0
1398,1917,120591,95.0
1402,1921,138704,473.0
1405,1924,52077,10513.0
1442,1965,87995,13820.0
1484,2009,70723,12101.0
1485,2010,17136,19.0
1486,2011,96874,165.0
1487,2012,99088,196.0
1496,2021,87182,841.0
1506,2034,78869,9570.0
1510,2038,77305,19378.0
1516,2046,91059,10122.0
1521,2053,104437,11158.0
1522,2054,97523,9354.0
1554,2091,78158,14822.0
1557,2094,102803,10249.0
1567,2105,84827,97.0
1578,2117,87803,9314.0
1592,2134,90305,11814.0
1594,2136,57372,18331.0
1662,2232,123755,431.0
1676,2256,84472,48311.0
1692,2275,118736,24746.0
1700,2287,47573,11071.0
1701,2288,84787,1091.0
1719,2311,86837,4437.0
1728,2322,120157,9425.0
1748,2346,73747,12223.0
1765,2363,47034,1678.0
1766,2364,87344,39256.0
1767,2365,56142,1680.0
1769,2367,74751,10730.0
1770,2368,91344,31947.0
1779,2377,89489,11954.0
1794,2393,120844,200.0
1807,2407,88933,10328.0
1808,2408,94890,11285.0
1827,2428,133751,9276.0
1841,2448,120458,9423.0
1842,2450,91225,10658.0
1845,2454,51622,11815.0
1846,2455,91064,9426.0
1847,2456,97368,10344.0
1877,2495,70544,16306.0
1880,2498,120764,9849.0
1901,2525,80354,33518.0
1902,2526,79550,40160.0
1903,2527,70909,2362.0
1904,2528,74812,10803.0
1905,2529,63442,871.0
1906,2530,65462,1685.0
1907,2531,69768,1705.0
1908,2532,68408,1688.0
1909,2533,67065,1687.0
1921,2549,131646,10350.0
1925,2553,54443,11773.0
1926,2554,56931,30202.0
1939,2571,133093,603.0
1956,2594,125659,1902.0
1961,2600,120907,1946.0
1968,2613,87799,18462.0
1969,2614,90837,28941.0
1970,2615,89652,18252.0
1978,2625,115693,9460.0
1979,2628,120915,1893.0
1986,2640,78346,1924.0
1987,2641,81573,8536.0
1988,2642,86393,9531.0
1989,2643,94074,11411.0
1991,2648,21884,3035.0
1996,2656,48696,9077.0
1997,2657,73629,36685.0
1999,2660,44121,10785.0
2000,2661,45920,19483.0
2001,2662,46534,8974.0
2002,2664,49366,11549.0
2003,2665,49169,18158.0
2004,2668,84745,17918.0
2008,2672,139809,1090.0
2012,2681,141105,13533.0
2026,2698,120554,67067.0
2029,2701,120891,8487.0
2038,2716,87332,620.0
2039,2717,97428,2978.0
2043,2722,149261,8914.0
2061,2740,91343,48660.0
2077,2761,129167,10386.0
2113,2807,176269,10366.0
2114,2808,105698,9349.0
2127,2827,138304,2900.0
2141,2851,81454,
2183,2900,95652,29787.0
2184,2901,79714,9638.0
2193,2916,100802,861.0
2233,2968,81633,36819.0
2248,2985,93870,5548.0
2249,2986,100502,5549.0
2267,3008,156729,16129.0
2275,3018,89885,1694.0
2280,3024,78087,24831.0
2285,3032,67525,11234.0
2286,3033,94012,957.0
2304,3054,190641,10228.0
2316,3070,86856,11379.0
2378,3156,182789,2277.0
2393,3175,177789,926.0
2404,3190,134983,10384.0
2456,3269,104291,10326.0
2477,3300,134847,2787.0
2492,3326,181151,10416.0
2507,3354,183523,2067.0
2540,3401,88760,19736.0
2570,3438,100758,1498.0
2596,3471,75860,840.0
2598,3474,117468,26689.0
2618,3503,69293,593.0
2636,3527,93773,106.0
2669,3572,106521,39283.0
2670,3573,112634,65460.0
2671,3574,115834,55667.0
2672,3576,93185,12476.0
2682,3592,84315,22501.0
2683,3593,185183,5491.0
2712,3638,79574,698.0
2718,3648,50095,38006.0
2724,3658,62168,26912.0
2725,3660,98143,26953.0
2726,3661,100438,26954.0
2727,3662,102728,26956.0
2728,3663,107899,26957.0
2729,3664,110916,26958.0
2748,3686,99582,1551.0
2749,3687,95525,22500.0
2758,3696,91630,15762.0
2759,3697,100403,169.0
2760,3698,93894,865.0
2761,3699,88172,9663.0
2762,3700,87004,26889.0
2763,3701,94631,10128.0
2764,3702,79501,9659.0
2765,3703,82694,8810.0
2766,3704,89530,9355.0
2803,3745,120913,7450.0
2812,3758,97100,28774.0
2822,3770,87175,24099.0
2836,3793,120903,36657.0
2843,3802,104299,9278.0
2860,3826,164052,9383.0
2861,3827,186566,5551.0
2865,3833,52646,33468.0
2869,3837,95863,15158.0
2889,3864,188640,10643.0
2927,3926,55608,2160.0
2928,3927,60397,2161.0
2931,3930,46876,10973.0
2932,3932,24184,10787.0
2933,3933,52969,43109.0
2934,3937,88024,9507.0
2953,3959,54387,2134.0
2970,3981,199753,8870.0
2974,3986,216216,8452.0
2982,3994,217869,9741.0
2991,4006,92106,1857.0
2999,4015,242423,8859.0
3027,4051,56600,
3045,4079,92546,5709.0
3056,4092,92746,15785.0
3069,4121,93260,2614.0
3072,4125,93405,24828.0
3078,4131,93477,32058.0
3080,4133,93507,11649.0
3121,4198,80421,14460.0
3174,4275,85811,849.0
3216,4343,251075,9397.0
3234,4370,212720,644.0
3264,4412,69372,28650.0
3275,4434,59095,65632.0
3283,4443,82869,10540.0
3286,4446,173840,2114.0
3294,4454,188913,36107.0
3311,4480,94761,9599.0
3319,4492,90887,3980.0
3322,4497,94961,40095.0
3342,4526,95687,12120.0
3346,4533,89907,10925.0
3351,4544,96101,11966.0
3352,4545,91949,2605.0
3354,4552,96251,41428.0
3355,4553,96256,8337.0
3363,4571,96928,1648.0
3369,4580,97138,10134.0
3374,4587,97257,2210.0
3400,4625,97883,4296.0
3401,4626,97889,24739.0
3409,4638,163025,331.0
3414,4643,133152,869.0
3455,4713,80360,11542.0
3471,4735,228333,10016.0
3473,4738,208196,22230.0
3496,4777,243759,21538.0
3521,4812,91993,13766.0
3522,4813,44207,16380.0
3546,4850,164917,16767.0
3559,4874,272152,167.0
3562,4878,246578,141.0
3569,4887,267804,10796.0
3581,4909,82558,12472.0
3598,4939,80736,8738.0
3599,4941,80745,3604.0
3600,4942,52564,6974.0
3605,4952,89622,33525.0
3606,4953,76535,27591.0
3617,4966,50539,31682.0
3624,4975,259711,1903.0
3629,4980,101452,1649.0
3632,4987,86346,26978.0
3664,5046,160399,4965.0
3670,5054,85271,15050.0
3674,5062,60955,20620.0
3682,5072,293416,9606.0
3694,5094,246894,11535.0
3721,5146,216651,15999.0
3731,5171,268695,2135.0
3734,5181,80836,54287.0
3736,5189,80904,29343.0
3746,5219,120804,1576.0
3768,5264,250305,15028.0
3804,5323,211443,11470.0
3819,5349,145487,557.0
3821,5356,73043,39154.0
3832,5378,121765,1894.0
3843,5397,44916,24008.0
3849,5410,67756,811.0
3867,5437,91472,30194.0
3872,5444,275847,11544.0
3873,5445,181689,180.0
3885,5459,120912,608.0
3893,5468,50084,15096.0
3900,5478,271367,8869.0
3910,5497,59557,23728.0
3915,5502,286106,2675.0
3926,5522,73631,11484.0
3927,5523,180052,11692.0
3933,5530,258153,9296.0
3941,5543,78350,46878.0
3942,5544,80025,24750.0
3968,5596,100666,34086.0
3969,5597,103003,11504.0
3973,5604,44876,32568.0
3997,5638,58379,1682.0
3998,5640,197521,18983.0
4030,5700,81693,31278.0
4031,5704,81764,44932.0
4045,5746,82431,28893.0
4050,5764,82677,21874.0
4056,5779,82910,31646.0
4092,5853,81455,9538.0
4104,5881,307479,2103.0
4105,5882,133240,9016.0
4118,5903,238380,7299.0
4122,5919,83557,38849.0
4132,5944,253754,201.0
4154,5979,50147,26946.0
4166,5999,119273,16225.0
4205,6078,83943,10724.0
4226,6153,84945,23943.0
4241,6184,74851,991.0
4274,6239,52948,11571.0
4281,6250,285531,6171.0
4286,6264,298814,9341.0
4298,6283,275277,11299.0
4306,6294,245803,11817.0
4314,6302,50177,66918.0
4315,6303,66769,10514.0
4316,6305,60390,1714.0
4334,6333,290334,36658.0
4348,6350,92067,10515.0
4351,6365,234215,604.0
4370,6395,69895,29425.0
4408,6502,289043,170.0
4422,6534,286716,1927.0
4425,6537,181852,296.0
4428,6541,311429,8698.0
4453,6574,101831,45096.0
4459,6583,94764,21512.0
4469,6597,310149,17180.0
4487,6631,107504,41759.0
4493,6645,66434,636.0
4495,6654,57215,35072.0
4496,6656,51381,44585.0
4498,6659,100814,9362.0
4510,6678,99731,20815.0
4538,6731,88993,8408.0
4540,6734,104850,2687.0
4559,6774,86541,837.0
4571,6790,267287,10881.0
4595,6835,82000,39916.0
4596,6836,53593,31634.0
4619,6882,339579,5493.0
4630,6899,92532,31397.0
4631,6902,165832,20312.0
4639,6934,242653,605.0
4650,6949,321442,14892.0
4658,6959,300556,9562.0
4663,6966,99365,9556.0
4665,6969,85426,19184.0
4672,6979,86567,860.0
4685,6996,102034,8010.0
4690,7001,77745,11850.0
4769,7099,87544,81.0
4781,7118,93207,20043.0
4784,7123,102511,2742.0
4808,7163,338337,9620.0
4844,7236,72730,4917.0
4851,7254,289879,1954.0
4863,7266,307109,18841.0
4909,7361,338013,38.0
4953,7481,89092,11864.0
4965,7569,62512,667.0
4983,7649,120711,10940.0
5004,7743,89114,9872.0
5022,7810,146455,10916.0
5023,7811,146247,10921.0
5024,7812,121804,10941.0
5036,7841,287839,192936.0
5037,7842,142032,876.0
5040,7845,114720,11069.0
5041,7846,259685,10829.0
5048,7891,58700,21159.0
5053,7900,65738,3075.0
5076,7984,91083,14510.0
5077,7986,102800,15618.0
5079,7988,120199,10690.0
5080,7991,72856,13282.0
5099,8092,99612,3072.0
5111,8136,49363,48385.0
5112,8137,54462,27545.0
5113,8138,53611,22718.0
5116,8147,62794,29146.0
5122,8169,92494,11548.0
5161,8361,319262,435.0
5169,8371,296572,2789.0
5187,8426,93871,33441.0
5188,8427,78766,47819.0
5190,8447,47577,831.0
5202,8477,56119,662.0
5212,8500,71565,38582.0
5235,8578,339840,8991.0
5241,8591,87910,10606.0
5257,8626,59125,26811.0
5259,8633,87597,11884.0
5260,8636,316654,558.0
5265,8644,343818,2048.0
5273,8677,32475,68064.0
5276,8690,69280,24559.0
5288,8743,90729,22976.0
5300,8782,167456,14623.0
5307,8800,345061,2577.0
5312,8810,370263,395.0
5317,8830,366174,11237.0
5328,8861,318627,1577.0
5330,8865,346156,5137.0
5333,8870,356618,10145.0
5347,8914,390384,14337.0
5360,8939,364343,11099.0
5396,9004,88979,16248.0
5397,9005,106912,15613.0
5398,9008,32635,28421.0
5456,26124,58530,7348.0
5483,26285,69945,1410.0
5496,26365,74559,10640.0
5504,26409,78062,98851.0
5508,26444,81874,64353.0
5511,26467,85404,7012.0
5514,26492,86491,15301.0
5517,26510,87225,1884.0
5523,26542,89110,10372.0
5525,26554,89869,10176.0
5533,26590,93066,17421.0
5534,26593,93171,22572.0
5536,26603,93777,8852.0
5541,26629,95444,16296.0
5556,26701,100339,14571.0
5570,26764,103923,13995.0
5582,26819,106950,12088.0
5586,26849,108941,13519.0
5588,26861,109838,17796.0
5593,26887,112040,152426.0
5604,26985,119794,8765.0
5607,27003,120604,5470.0
5612,27032,127357,8697.0
5614,27074,145600,27260.0
5620,27155,169590,17074.0
5621,27156,169858,18491.0
5629,27266,212712,844.0
5631,27311,233298,16234.0
5643,27420,270688,81540.0
5651,27482,285492,437.0
5655,27537,298482,10981.0
5657,27549,301167,36222.0
5664,27611,314979,206216.0
5665,27618,318081,10077.0
5669,27660,328832,55931.0
5673,27683,334541,10891.0
5685,27728,347246,12140.0
5699,27788,366627,9667.0
5701,27793,367093,10304.0
5729,27904,405296,3509.0
5730,27905,405821,11662.0
5750,30894,375210,11804.0
5763,31150,76929,16220.0
5765,31184,401233,11633.0
5778,31424,369226,12142.0
5787,31553,106761,2436.0
5792,31660,348121,8953.0
5802,31804,403358,3040.0
5819,32031,358082,9928.0
5826,32213,377713,438.0
5847,32554,113799,42994.0
5868,32898,417,775.0
5872,33004,371724,7453.0
5874,33090,277909,30863.0
5896,33493,121766,1895.0
5918,33801,399102,15767.0
5931,34048,407304,74.0
5936,34150,120667,9738.0
5941,34292,99740,11309.0
5943,34319,399201,1635.0
5949,34334,382992,10048.0
5954,34405,379786,16320.0
5976,36363,91341,20874.0
5980,36509,402901,9042.0
5994,37380,419706,8814.0
5997,37386,402022,8202.0
6011,37830,385700,647.0
6024,38583,92240,10017.0
6047,40339,371606,9982.0
6050,40478,69005,38761.0
6059,40697,105946,
6100,42422,370754,37910.0
6106,42718,414852,10045.0
6143,43928,370032,9920.0
6145,43932,454919,9682.0
6148,44020,491703,14609.0
6151,44191,434409,752.0
6160,44243,116861,19287.0
6174,44731,441796,10069.0
6178,44777,383353,10177.0
6180,44828,439815,9035.0
6182,44849,386741,9389.0
6209,45499,376994,36668.0
6238,46530,348150,1452.0
6267,47404,452039,21712.0
6293,47997,387808,7512.0
6330,48774,206634,9693.0
6331,48780,482571,1124.0
6340,49110,104905,27295.0
6349,49278,453467,7551.0
6425,51412,435705,1738.0
6430,51562,106336,10942.0
6436,51698,768212,2267.0
6438,51709,468492,1255.0
6453,52281,462322,253768.0
6455,52287,396555,1267.0
6458,52328,448134,1272.0
6462,52462,455326,13158.0
6470,52722,413300,559.0
6477,52885,851578,4977.0
6483,53000,463854,1562.0
6494,53161,497137,5488.0
6503,53453,79946,22049.0
6505,53464,486576,1979.0
6521,53996,418279,1858.0
6546,54771,427392,4858.0
6556,54995,1077258,1992.0
6562,55061,800022,13529.0
6577,55232,432021,7737.0
6618,55908,756683,13363.0
6621,56003,405336,4723.0
6623,56022,113264,24732.0
6625,56145,884328,5876.0
6630,56174,480249,6479.0
6632,56251,471711,7249.0
6650,56801,758730,440.0
6656,56921,991178,69315.0
6664,57368,1060277,7191.0
6668,57504,808506,14069.0
6674,57637,780607,13059.0
6675,57640,411477,11253.0
6677,57772,70904,53094.0
6681,58025,489099,8247.0
6695,58297,483607,13460.0
6702,58332,848557,13025.0
6706,58404,902272,14011.0
6713,58783,481797,7797.0
6726,59014,426592,11918.0
6731,59037,811080,7459.0
6743,59315,371746,1726.0
6754,59615,367882,217.0
6769,60037,949731,8645.0
6770,60040,800080,1724.0
6772,60069,910970,10681.0
6778,60161,1054485,12889.0
6789,60471,479528,13022.0
6791,60514,373051,88751.0
6792,60516,765476,11260.0
6796,60674,929629,12914.0
6797,60684,409459,13183.0
6802,60760,443701,8836.0
6810,60904,96126,43680.0
6823,61160,1185834,12180.0
6825,61210,490181,13256.0
6829,61248,452608,10483.0
6838,61350,364970,9381.0
6845,61692,457275,14458.0
6859,62336,279077,225130.0
6862,62376,970411,13600.0
6863,62383,6333,30266.0
6876,62834,280453,16068.0
6877,62836,871427,15289.0
6879,62956,1054486,13253.0
6880,62970,910812,114796.0
6894,63433,387736,13905.0
6918,64497,970416,10200.0
6932,64997,449040,34812.0
6954,65642,480669,14139.0
6963,65982,462465,10529.0
6966,66171,465580,13455.0
6970,66297,1054487,15060.0
6985,66934,1227926,14301.0
6991,67197,448011,13811.0
6996,67408,892782,15512.0
7004,67799,1234541,16258.0
7014,68237,1182345,17431.0
7016,68319,458525,2080.0
7018,68358,796366,13475.0
7030,68791,438488,534.0
7037,68945,169880,21832.0
7052,69278,457400,18162.0
7058,69453,73260,27085.0
7064,69526,1055369,8373.0
7090,70286,1136608,17654.0
7093,70305,1075417,13836.0
7095,70336,1046173,14869.0
7099,70521,1117666,19422.0
7100,70533,923811,15137.0
7103,70599,452694,24420.0
7119,71057,472033,12244.0
7120,71106,910554,22494.0
7122,71129,1384590,17445.0
7124,71135,1188729,19898.0
7128,71205,1131734,19994.0
7132,71254,1034032,18501.0
7136,71302,51380,18724.0
7147,71468,1071804,24869.0
7148,71484,985058,36800.0
7153,71530,986263,19959.0
7170,71999,14646,2973.0
7172,72104,96880,44338.0
7182,72308,1286130,105077.0
7185,72378,1190080,14161.0
7202,72701,762125,16866.0
7212,72998,499549,19995.0
7247,74095,98692,21453.0
7268,74668,1247640,15357.0
7271,74685,455407,29427.0
7282,74868,1235124,23488.0
7289,75416,116401,26623.0
7296,75985,1053424,31867.0
7300,76077,1231587,23048.0
7324,77561,1228705,10138.0
7328,77795,381940,34069.0
7336,77931,1355599,37511.0
7350,78266,1017460,37707.0
7369,79057,1424381,34851.0
7372,79132,1375666,27205.0
7384,79357,485947,31011.0
7402,80083,142235,28609.0
7411,80363,1220634,35791.0
7437,80917,1470827,43933.0
7438,80969,1334260,42188.0
7455,81564,1001526,38055.0
7475,82095,1564585,42684.0
7484,82461,1104001,20526.0
7508,83613,409847,49849.0
7515,84152,1219289,51876.0
7517,84187,860906,22843.0
7524,84414,1699114,56590.0
7533,84772,1092026,39513.0
7534,84799,69738,37618.0
7541,84954,1385826,38050.0
7545,85056,1464540,46529.0
7546,85131,1217613,44943.0
7547,85179,1474276,28874.0
7550,85261,1305591,50321.0
7562,85414,945513,45612.0
7566,85736,1334585,13413.0
7568,85780,1701991,110639.0
7588,86320,1527186,62215.0
7592,86355,480239,56780.0
7606,86835,822847,38321.0
7607,86864,55198,39410.0
7616,87192,1478964,59678.0
7620,87232,1270798,49538.0
7625,87306,1650062,37686.0
7627,87430,1133985,44912.0
7631,87520,1399103,38356.0
7646,88140,458339,1771.0
7661,88699,1500491,51620.0
7662,88744,1318514,61791.0
7672,89039,1549572,55420.0
7687,89470,1598778,39538.0
7693,89745,848228,24428.0
7703,89898,459748,63375.0
7706,89945,1520494,59852.0
7710,90249,433035,39254.0
7712,90345,905372,60935.0
7719,90405,1637688,49530.0
7752,91233,945571,13060.0
7767,91500,1392170,70160.0
7777,91660,1093357,71469.0
7798,92192,1772240,50357.0
7807,92420,1706593,76726.0
7820,92681,1397514,72545.0
7821,92694,1439572,51999.0
7823,92760,57859,37464.0
7842,93363,401729,49529.0
7847,93563,1592525,81796.0
7855,93805,1034314,10679.0
7859,93840,1259521,22970.0
7866,94018,1440129,44833.0
7872,94262,52587,37467.0
7883,94777,1409024,41154.0
7885,94799,1748207,86812.0
7886,94810,1298554,77561.0
7888,94864,1446714,70981.0
7905,95165,142240,39100.0
7909,95182,142233,39101.0
7927,95510,948470,1930.0
7937,95720,1298649,80035.0
7943,95796,1137996,14863.0
7948,95875,1386703,64635.0
7978,96608,114308,67166.0
7979,96610,1276104,59967.0
7981,96655,1990314,84329.0
7982,96691,1855325,71679.0
7985,96737,1343727,49049.0
7990,96832,2076220,103328.0
8013,97752,1371111,83542.0
8028,97988,1713476,123105.0
8032,98124,2313197,123025.0
8048,98607,1483797,71883.0
8079,99764,2396224,147538.0
8082,99853,1762248,105538.0
8084,99917,2084989,145197.0
8095,100302,1374992,58244.0
8108,100579,1659343,122857.0
8109,100611,765446,68179.0
8112,100810,2387433,145135.0
8120,101076,1583421,72559.0
8137,101864,1483013,75612.0
8143,102025,61549,42699.0
8147,102070,1525366,84204.0
8151,102125,1300854,68721.0
8159,102445,1408101,54138.0
8178,102880,1815862,82700.0
8183,103042,770828,49521.0
8194,103228,1663662,68726.0
8199,103253,1535108,68724.0
8202,103341,1213663,107985.0
8211,103596,2724064,205321.0
8220,103772,1430132,76170.0
8228,104017,181947,58447.0
8238,104243,1411250,87421.0
8246,104419,1494772,30061.0
8250,104780,211653,49802.0
8252,104841,1454468,49047.0
8254,104875,2245195,115199.0
8287,106002,1731141,80274.0
8295,106487,1951264,101299.0
8301,106642,2779318,253941.0
8313,106920,1798709,152601.0
8314,106927,1381512,39260.0
8322,107406,1706620,110415.0
8324,107410,86723,20894.0
8347,108190,1840309,157350.0
8351,108689,1418377,100241.0
8358,108945,1234721,97020.0
8364,109187,2333804,157834.0
8376,109487,816692,157336.0
8386,109848,1441395,97370.0
8395,110102,1843866,100402.0
8406,110553,1872181,102382.0
8414,110730,2209764,157353.0
8424,111360,2872732,240832.0
8425,111362,1877832,127585.0
8426,111364,831387,124905.0
8430,111551,2309961,210947.0
8438,111759,1631867,137113.0
8456,112326,119781,27460.0
8458,112370,2109248,91314.0
8469,112623,2103281,119450.0
8473,112804,2884206,244267.0
8475,112852,2015381,118340.0
8476,112868,2910814,242095.0
8489,113345,1617661,76757.0
8491,113350,2048770,273404.0
8493,113378,435651,227156.0
8502,113741,2866360,220289.0
8513,114180,1790864,198663.0
8531,114847,1971325,262543.0
8533,114935,2397535,206487.0
8549,115680,2669336,273271.0
8550,115713,470752,264660.0
8572,116823,1951265,131631.0
8576,116941,99878,17009.0
8590,117529,369610,135397.0
8611,118290,117238,17135.0
8639,119167,1343740,51239.0
8654,120799,1340138,87101.0
8659,121007,1164647,14749.0
8680,122627,117223,80985.0
8681,122882,1392190,76341.0
8683,122886,2488496,140607.0
8686,122892,2395427,99861.0
8688,122898,974015,141052.0
8689,122900,478970,102899.0
8690,122902,1502712,166424.0
8691,122904,1431045,293660.0
8692,122906,1825683,284054.0
8693,122912,4154756,299536.0
8694,122916,3501632,284053.0
8695,122918,3896198,283995.0
8696,122920,3498820,271110.0
8697,122922,1211837,284052.0
8698,122924,3385516,246655.0
8709,124851,1698647,279828.0
8712,125221,48992,108181.0
8721,126426,1808482,321130.0
8728,127096,2436386,227719.0
8750,127323,3480796,307663.0
8762,128542,2535470,290999.0
8776,128944,119310,11425.0
8778,128975,2637294,243938.0
8779,128991,3723996,269711.0
8786,129397,2247732,119569.0
8792,129779,2636124,196750.0
8799,130444,2418558,175774.0
8803,130490,2908446,262500.0
8805,130518,468445,213110.0
8806,130520,2224026,228161.0
8807,130576,2649554,245703.0
8811,130840,3395184,241855.0
8812,130842,4475970,327029.0
8835,132046,1964418,158852.0
8841,132362,124770,14572.0
8856,133217,4312536,335819.0
8859,133377,3327624,301728.0
8865,133771,3464902,254320.0
8879,134130,3659388,286217.0
8881,134170,3472226,251516.0
8904,135133,1951266,131634.0
8905,135137,2120120,257344.0
8908,135216,193524,74849.0
8911,135456,1024215,18839.0
8912,135518,2140379,238615.0
8915,135536,1386697,297761.0
8916,135567,1628841,47933.0
8917,135569,2660888,188927.0
8923,135885,1727770,86828.0
8932,136305,3899796,331446.0
8940,136449,1260502,14092.0
8956,136800,2145829,240483.0
8962,136859,1321869,79698.0
8963,136864,2975590,209112.0
8982,138632,2808986,240566.0
9001,139859,3017864,212168.0
9016,140359,1413314,281979.0
9017,140481,1329665,278604.0
9020,140541,516,143634.0
9023,140711,3316948,261392.0
9029,140852,225009,50162.0
9031,140956,1677720,333339.0
9032,141004,1976009,228066.0
9038,141544,3672742,310135.0
9065,142420,462335,254302.0
9067,142424,2625810,334538.0
9073,142509,3072482,325348.0
9085,143255,1957938,301228.0
9088,143365,4287320,339988.0
9110,144734,1817771,218784.0
9117,145724,71647,74836.0
9145,147372,4050552,317182.0
9147,147376,1672218,315620.0
9148,147378,1337072,282963.0
9149,147380,1321969,317190.0
9150,147382,1061123,335209.0
9151,147384,827573,282758.0
9157,148172,2304933,299687.0
9169,148775,1369845,26736.0
9176,149144,3345472,282069.0
9177,149146,3345474,282070.0
9190,149902,2504640,302026.0
9195,150596,4701546,371759.0
9203,151479,101893,222619.0
9209,151695,2580382,329004.0
9211,151745,56405,21266.0
9216,151781,856797,18874.0
9262,156675,63465,29398.0
9282,157865,2865120,234004.0
9284,158027,4788944,380254.0
9288,158388,77278,3786.0
9300,158956,2667380,384798.0
9309,159403,185481,37433.0
9322,160080,1289401,43074.0
9332,160565,4094724,316727.0
9346,160978,422370,49037.0
9351,161044,136535,16909.0
9358,161594,5595168,390734.0
9361,161918,4831420,390989.0
9377,162982,2967286,225745.0
9378,163056,4262980,315011.0
9391,163985,5640450,410199.0
9392,164179,2543164,329865.0
9394,164226,825283,339116.0
9396,164367,4547056,375366.0
9403,164881,5487524,402193.0
9410,165343,1267299,377448.0
9418,165639,6016776,413279.0
9428,166203,3260022,279229.0
9432,166526,3922818,365942.0
9433,166528,3748528,330459.0
9437,166635,1355644,274870.0
9445,167370,2094766,121856.0
9456,168026,3067038,211387.0
9463,168252,3315342,263115.0
9468,168358,79285,19761.0
9474,168612,1219827,315837.0
9481,169904,109965,11795.0
9484,169982,3717490,305470.0
9485,169984,2316204,126889.0
9487,170289,410650,9711.0
9488,170297,803093,14611.0
9522,171765,3967856,387426.0
9523,171811,3273632,256608.0
9546,172875,366177,24660.0
9547,172881,350934,24357.0
9548,172887,368574,24914.0
9550,173145,3450958,281338.0
9557,173291,2239822,339964.0
9558,173307,4464394,327253.0
9566,173925,1536537,406990.0
9570,174053,3973198,374430.0
9581,175197,1648190,353491.0
9604,176371,1856101,335984.0
9617,177285,5544384,413594.0
9630,179053,7387408,475759.0
9645,179819,2527336,181808.0
9667,182639,368575,24362.0
9668,182715,2798920,300668.0
9670,182731,393596,124117.0
9682,183635,4500922,336843.0
9687,184053,1016024,17571.0
9689,184253,2548396,384521.0
9697,184987,1620680,407451.0
9705,185585,2557478,268896.0
9706,186587,2231461,427641.0
9707,187031,4881806,351286.0
9709,187593,5463162,383498.0
9710,187595,3778644,348350.0
9712,188189,5688932,424781.0
9713,188301,5095030,363088.0
9722,189547,1665744,111196.0
9724,190183,4073790,445651.0
9731,191005,5805470,432985.0
9732,193565,1636780,71172.0
